Destination,Level_A,Level_B,Level_B_Counts,,
Abuja,Food & Drink,Other Food & Drink ,1,,DFDFD
Abuja,Shopping,Gift & Specialty Shops ,3,,
Abuja,Shopping,Art Galleries ,2,,
Abuja,Shopping,Shopping Malls ,1,,
Abuja,Spas & Wellness,Spas ,4,,
Abuja,Museums,Art Galleries ,2,,
Abuja,Museums,Art Museums ,1,,
Abuja,Nightlife,Bars & Clubs ,1,,
Abuja,Nature & Parks,Bodies of Water ,1,,
Abuja,Nature & Parks,Dams ,1,,
Abuja,Sights & Landmarks,Churches & Cathedrals ,1,,
Abuja,Sights & Landmarks,Points of Interest & Landmarks ,1,,
Abuja,Sights & Landmarks,Sacred & Religious Sites ,1,,
Accra,Fun & Games,Game & Entertainment Centers ,2,,
Accra,Fun & Games,Casinos ,1,,
Accra,Fun & Games,Room Escape Games ,1,,
Accra,Outdoor Activities,Beaches ,4,,
Accra,Outdoor Activities,Climbing Tours ,1,,
Accra,Outdoor Activities,Hiking & Camping Tours ,1,,
Accra,Outdoor Activities,Nature & Wildlife Tours ,1,,
Accra,Shopping,Gift & Specialty Shops ,7,,
Accra,Shopping,Art Galleries ,5,,
Accra,Shopping,Shopping Malls ,5,,
Accra,Shopping,Antique Stores ,1,,
Accra,Shopping,Flea & Street Markets ,1,,
Accra,Tours,Sightseeing Tours ,6,,
Accra,Tours,Private Tours ,4,,
Accra,Tours,Cultural Tours ,3,,
Accra,Tours,City Tours ,1,,
Accra,Tours,Climbing Tours ,1,,
Accra,Tours,Day Trips from Accra ,1,,
Accra,Tours,Hiking & Camping Tours ,1,,
Accra,Tours,Historical & Heritage Tours ,1,,
Accra,Tours,Nature & Wildlife Tours ,1,,
Accra,Museums,Art Galleries ,5,,
Accra,Museums,History Museums ,3,,
Accra,Museums,Specialty Museums ,2,,
Accra,Museums,Art Museums ,1,,
Accra,Nature & Parks,Beaches ,4,,
Accra,Nature & Parks,Gardens ,1,,
Accra,Nature & Parks,National Parks ,1,,
Accra,Nature & Parks,Nature & Wildlife Areas ,1,,
Accra,Sights & Landmarks,Churches & Cathedrals ,2,,
Accra,Sights & Landmarks,Architectural Buildings ,1,,
Accra,Sights & Landmarks,Educational sites ,1,,
Accra,Sights & Landmarks,Historic Sites ,1,,
Accra,Sights & Landmarks,Lighthouses ,1,,
Accra,Sights & Landmarks,Monuments & Statues ,1,,
Accra,Sights & Landmarks,Points of Interest & Landmarks ,1,,
Accra,Sights & Landmarks,Sacred & Religious Sites ,1,,
Accra,Concerts & Shows,Theaters ,2,,
Accra,Concerts & Shows,Concerts ,1,,
Accra,Concerts & Shows,Theater & Performances ,1,,
Amman,Food & Drink,Wineries & Vineyards ,2,,
Amman,Food & Drink,Breweries ,1,,
Amman,Food & Drink,Cooking Classes ,1,,
Amman,Food & Drink,Other Food & Drink ,1,,
Amman,Shopping,Gift & Specialty Shops ,18,,
Amman,Shopping,Art Galleries ,7,,
Amman,Shopping,Flea & Street Markets ,3,,
Amman,Shopping,Shopping Malls ,3,,
Amman,Shopping,Antique Stores ,1,,
Amman,Spas & Wellness,Spas ,7,,
Amman,Spas & Wellness,Hammams & Turkish Baths ,1,,
Amman,Spas & Wellness,Health/Fitness Clubs & Gyms ,1,,
Amman,Spas & Wellness,Thermal Spas ,1,,
Amman,Tours,Private Tours ,25,,
Amman,Tours,Sightseeing Tours ,20,,
Amman,Tours,Cultural Tours ,14,,
Amman,Tours,City Tours ,12,,
Amman,Tours,Historical & Heritage Tours ,11,,
Amman,Tours,Day Trips from Amman ,6,,
Amman,Tours,Hiking & Camping Tours ,4,,
Amman,Tours,Eco Tours ,3,,
Amman,Tours,Nature & Wildlife Tours ,3,,
Amman,Museums,Art Galleries ,7,,
Amman,Museums,Specialty Museums ,5,,
